objid,type,ra,dec,u,g,r,i,z,redshift
1.23767E+18,GALAXY,257.9894391,64.17023457,14.71428,10.9605,10.68111,10.63274,10.98623,Null
1.23767E+18,GALAXY,257.9428879,64.11177507,19.01969,17.20665,16.37219,15.98417,15.69294,Null
1.23767E+18,GALAXY,257.9342925,64.112136,18.43226,17.00381,16.39649,16.04041,15.81141,0.083265
1.23767E+18,GALAXY,258.0569989,64.14100236,19.2431,17.33631,16.45946,16.05503,15.7029,0.0736187
1.23767E+18,GALAXY,258.0842196,64.18631487,18.91624,16.95592,16.04579,15.61432,15.28275,Null
1.23767E+18,GALAXY,258.1453615,64.07070396,17.96586,15.43528,14.45425,13.74995,13.69962,Null
1.23767E+18,GALAXY,258.2083664,64.05294822,19.22208,17.00105,16.03318,15.59466,15.34225,0.07395603
1.23767E+18,GALAXY,258.0674953,64.03677188,19.88776,17.80275,16.81038,16.36799,16.01531,Null
1.23767E+18,GALAXY,258.2133566,64.07316958,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364
1.23767E+18,GALAXY,258.1199461,64.06074829,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803
1.23767E+18,GALAXY,258.1816362,64.05353955,19.60752,17.72213,16.78737,16.35058,16.07873,0.08562605
1.23767E+18,GALAXY,257.9238362,64.08306911,19.16003,17.28089,16.35022,15.91443,15.5864,0.08339601
1.23767E+18,GALAXY,258.0040947,64.03786061,19.46458,17.47298,16.59492,16.19074,15.90661,0.07503507
1.23767E+18,GALAXY,258.1269464,64.01659921,19.72195,17.61121,16.67022,16.24324,15.90662,0.08224989
1.23767E+18,GALAXY,258.1195762,64.10908255,18.62674,17.77855,17.48283,17.19004,17.1299,0.07412706
1.23767E+18,GALAXY,258.3438977,64.04899076,19.05873,17.08336,16.15984,15.72958,15.39665,Null
1.23767E+18,GALAXY,258.2657225,64.11711801,18.49716,16.4852,15.5344,15.09496,14.75453,0.08092269
1.23767E+18,GALAXY,257.9342925,64.112136,18.43226,17.00381,16.39649,16.04041,15.81141,0.083265
1.23767E+18,GALAXY,258.0569989,64.14100236,19.2431,17.33631,16.45946,16.05503,15.7029,0.0736187
1.23767E+18,GALAXY,258.2133566,64.07316958,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364
1.23767E+18,GALAXY,258.1816362,64.05353955,19.60752,17.72213,16.78737,16.35058,16.07873,0.08562605
1.23767E+18,GALAXY,258.2267822,63.99241769,18.13377,16.21136,15.26339,14.83432,14.50581,0.08285826
1.23767E+18,GALAXY,257.9238362,64.08306911,19.16003,17.28089,16.35022,15.91443,15.5864,0.08339601
1.23767E+18,GALAXY,257.9918715,64.089151,18.8715,16.84598,15.92457,15.48088,15.13799,0.07968805
