objid,type,ra,dec,u,g,r,i,z,redshift
1237671768542543920,GALAXY,257.989439115312,64.1702345730141,14.71428,10.9605,10.68111,10.63274,10.98623,Null
1237671768542544160,GALAXY,257.942887869492,64.1117750697061,19.01969,17.20665,16.37219,15.98417,15.69294,Null
1237671768542544161,GALAXY,257.934292535865,64.112136003604,18.43226,17.00381,16.39649,16.04041,15.81141,0.083265
1237671768542544274,GALAXY,258.056998922109,64.141002360159,19.2431,17.33631,16.45946,16.05503,15.7029,0.0736187
1237671768542544336,GALAXY,258.084219582307,64.1863148716021,18.91624,16.95592,16.04579,15.61432,15.28275,Null
1237671939804561466,GALAXY,258.14536146992,64.0707039556691,17.96586,15.43528,14.45425,13.74995,13.69962,Null
1237671939804561470,GALAXY,258.208366383736,64.0529482205171,19.22208,17.00105,16.03318,15.59466,15.34225,0.07395603
1237671939804561474,GALAXY,258.067495327645,64.0367718751392,19.88776,17.80275,16.81038,16.36799,16.01531,Null
1237671939804561475,GALAXY,258.213356620306,64.0731695837472,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364
1237671939804561476,GALAXY,258.119946070518,64.0607482946166,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803
1237671939804561484,GALAXY,258.181636220846,64.0535395506805,19.60752,17.72213,16.78737,16.35058,16.07873,0.08562605
1237671939804561746,GALAXY,257.923836197268,64.0830691056946,19.16003,17.28089,16.35022,15.91443,15.5864,0.08339601
1237671939804561826,GALAXY,258.004094698905,64.0378606119499,19.46458,17.47298,16.59492,16.19074,15.90661,0.07503507
1237671939804561934,GALAXY,258.126946430771,64.0165992099336,19.72195,17.61121,16.67022,16.24324,15.90662,0.08224989
1237671939804561948,GALAXY,258.11957617278,64.1090825481144,18.62674,17.77855,17.48283,17.19004,17.1299,0.07412706
1237671939804626960,GALAXY,258.343897730875,64.0489907644879,19.05873,17.08336,16.15984,15.72958,15.39665,Null
1237671939804627265,GALAXY,258.265722450296,64.1171180093868,18.49716,16.4852,15.5344,15.09496,14.75453,0.08092269
